"Hora del día","Frecuencia","Porcentaje","Porcentaje_Acumulado"
19,12604,6.30240965662768,6.30240965662768
18,12072,6.03639236550376,12.3388020221314
20,11755,5.87788206233405,18.2166840844655
21,11446,5.72337201918125,23.9400561036467
22,11023,5.5118582707876,29.4519143744343
13,10023,5.01182576867496,34.4637401431093
12,9923,4.9618225184637,39.425562661573
23,9804,4.9023186507123,44.3278813122853
17,9758,4.87931715561511,49.2071984679004
14,9749,4.8748168630961,54.0820153309965
15,9614,4.8073124753109,58.8893278063074
11,9420,4.71030616990104,63.5996339762085
9,9339,4.66980353722992,68.2694375134384
8,9075,4.53779495667218,72.8072324701106
10,8943,4.47179066639332,77.2790231365039
16,8312,4.15627015756024,81.4352932940641
0,7842,3.9212548815673,85.3565481756314
7,7230,3.61523499027437,88.9717831659058
1,5908,2.95419202248146,91.9259751883872
2,4422,2.21114372434208,94.1371189127293
6,4139,2.06963452624421,96.2067534389735
3,3255,1.62760579437663,97.8343592333502
4,2365,1.18257686749639,99.0169361008466
5,1966,0.983063899153445,100
